id,name,price,brand,subBrand,km,fuel,transmission_name,city,year
3791,530d Aut.,34500,Bmw,5er,209.000,Diesel,Automatic,Prishtinë,2017
3747,A6 2.0 TDI ultra S tronic,21000,Audi,A6,98000,Diesel,Automatic,Gjakova,2016
3525,Fiat,8900,Fiat,500,175000,Petrol,Manuelles Getriebe,,2012
3699,Ceed SW 1.4 T-GDI OPF,14500,Kia,Ceed,96500,Petrol,Manuelles Getriebe,,2019
3688,Audi,14500,Audi,A4,"320,000",Diesel,Automatik,,2014
3641,Zafira Tourer 2.0 CDTI Automatik,10900,Opel,Zafira Tourer,238.000,Diesel,Automatik,Gjilan,2017
3527,A4 2.0 TDI DPF clean diesel multitronic,15500,Audi,A4,110000,Diesel,Automatic,,2015
3504,Bmw,15200,Bmw,X3,294000,Diesel,Automatic,null,2013
3445,Mondeo 2.0 TDCi Start-Stopp PowerShift-Aut,13499,Ford,Mondeo,119000,Diesel,Automatic,,2015
3407,Mercedes-benz,60000,Mercedes-benz,C-klasse,145000,Petrol,Automatic,null,2016
3383,Alhambra 20.TDI (Ecomotive) Start & Stop DSG,14800,Seat,Alhambra,260000,Diesel,Automatic,,2014
3356,Vw,555,Vw,Golf Vii,230000,Diesel,Automatik,,2015
3336,Bmw,8900,Bmw,2er,246000,Diesel,Automatik,,2015
3305,Octavia Combi 1.6 TDI,10000,Skoda,Octavia,229000,Diesel,Automatic,,2024
3270,Audi,28500,Audi,Q5,263000,Diesel,Automatik,null,2018
3241,A6 Avant 3.0 TDI DPF multitronic,16500,Audi,A6,208946,Diesel,Automatik,,2014
3210,Nissan,11500,Nissan,Juke,100000,Benzin,Manuelles Getriebe,,2015
3184,Vw,6200,Vw,Golf Vii,190000,Petrol,Manuelles Getriebe,,2013
3118,Seat,7700,Seat,Leon,154000,Diesel,Manuelles Getriebe,,2014
3082,220d Gran Tourer,14900,Bmw,2 Series,260000,Diesel,Automatic,,2019
3052,Golf 1.6 TDI Comfortline DSG,13999,Vw,Golf Vii,280000,Diesel,Automatic,,2018
3036,A 180 d Style 7G-DCT,17900,Mercedes-benz,A-class,240000,Diesel,Automatic,,2019
3011,Tiguan 2.0 TDI SCR R-Line DSG,33500,Vw,Tiguan,140000,Diesel,Automatic,,2021
2948,Vw,9100,Vw,Touran,364000,Diesel,Automatic,,2011
2887,Audi a4 AUTOMATIK,14000,Audi,A4,32000,Diesel,Manual,null,2014
2723,Vw,7500,Vw,Up,60000,Benzin bleifrei,Manual,,2016
2685,Vw,27800,Vw,Passat,99000,Diesel,Automatic,,2021
2535,Land Rover,17500,Land Rover,Rr Evoque,247000,Diesel,Manual,,2017
2483,,16000,,,,Diesel,,,
2404,Seat,10900,Seat,Leon,189000,Diesel,Automatic,,2014
2299,Golf 7 1.6 TDI BlueMotion Technology DSG Cup,8000,Vw,Golf Vii,230000,Diesel,Automatic,,2014
2202,Vw,3500,Vw,PASSAT VARIANT,435000,Diesel,Manual,,2002
2161,Bmw,14800,Bmw,3er Serie F34 DIESEL GT MY 2013-,301438,Diesel,Automatic,,2015
2143,Skoda,11900,Skoda,OCTAVIA Combi Diesel Mod. 2017-,336000,Diesel,Automatic,,2019
2126,,9700,141,912,115000,Diesel,Manual,,2016
2050,CLS 350 d AMG Line 4Matic,59000,Mercedes-benz,CLS-KLASSE LIMOUSINE 257,103000,Diesel,Automatic,,2019
2035,Vw,12000,Vw,GOLF VII DIESEL,289000,Diesel,Manual,,2015
2013,Audi,18800,Audi,A3 SPORTBACK DIESEL,185000,Diesel,Automatic,,2020
2002,Q8 SUV 50 TDI quattro,112000,Audi,Q8 SUV DIESEL,00,Diesel,Automatic,,2024
